Longitude,Latitude,Image URL,InventoryNumber,Location,Theme,Title,Period,Description
116.581980596044,40.0370400378944,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-1786-11.png,RV-1786-11,Beijing,Artwork,Rubbing print of a relief,19th century,Rub impression of a stone relief in a Buddhist temple in Beijing. Collected by Dutch architect J.G. Robbers.
116.947069746093,40.619951859102,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/7282-6.png,7282-6,Beijing,Daily Life Items,Yellow fabric from the Imperial Palace,1900-1911,"Yellow fabric from the Imperial Palace, possibly originally curtain fabric, used by its later owner as back upholstery for a chair.
The fabric belonged to Gerard Vissering, who, as a talented banker, had been sent to China in 1911 to develop the"
116.280615835609,39.8532123604963,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/7282-7.png,7282-7,Beijing,Daily Life Items,Yellow fabric from the Imperial Palace,1900-1911,"Yellow fabric from the Imperial Palace, possibly originally curtain fabric, used by its later owner as seat upholstery for a chair.
The fabric belonged to Gerard Vissering, who was a talented banker sent to China in 1911 to he"
117.254325069556,40.6483595859087,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-5257-4.png,RV-5257-4,Beijing,Daily Life Items,Street trash can,1949-1983,"Litter box, guo-pi-xiang, of pottery with white sherd, covered with sancai lead glazes in the colors yellow, green, eggplant and white, in the shape of a seated buddhist lion with wide-open mouth, a bubble band around the chest. The lion"
116.561349255633,39.8496941290902,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-3507-1.png,RV-3507-1,Beijing,Daily Life Items,Cook's Passport,1300-1500,"Those in ancient China who needed to prove their identity, declare their arrival or justify their presence, for example, contractors, envoys, couriers, soldiers and others, could use a fu to do so. A fu is"
116.21353864749,40.3929907980218,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-11557.png,RV-11557,Beijing,Photograph,Photograph,,
116.641800340332,39.7131567152372,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1.png,RV-A139-1,Beijing,Photograph,Photograph,,
117.168696092655,40.2715977532307,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-1.png,RV-A139-1-1,Beijing,Photograph,Photograph,,
116.728819223813,40.4882145691818,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-10.png,RV-A139-1-10,Beijing,Photograph,Photograph,,
116.252758668861,40.4918006784332,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-11.png,RV-A139-1-11,Beijing,Photograph,Photograph,,
116.568833551847,40.7477353117554,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-12.png,RV-A139-1-12,Beijing,Photograph,Photograph,,
116.259695924024,40.6646299965356,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-13.png,RV-A139-1-13,Beijing,Photograph,Photograph,,
116.756837955555,39.8943311571273,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-14.png,RV-A139-1-14,Beijing,Photograph,Photograph,,
116.917595418821,40.0912211506738,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-15.png,RV-A139-1-15,Beijing,Photograph,Photograph,,
115.818913473802,40.0515022898837,https://raw.githubusercontent.com/Bouncing-Grey/Pics/main/Beijing_resized_bordered/RV-A139-1-16.png,RV-A139-1-16,Beijing,Photograph,Photograph,,
